Year,Month,Product,State,Requirement,Availability
2014-2015,July,TSP,Dadra & Nagar Haveli,0,0
2014-2015,July,UREA,Dadra & Nagar Haveli,0,18
2014-2015,July,DAP,Daman & Diu,0,0
2014-2015,July,MAP,Daman & Diu,0,0
2014-2015,July,MOP,Daman & Diu,0,0
2014-2015,July,NPK,Daman & Diu,0,0
2014-2015,July,TSP,Daman & Diu,0,0
2014-2015,July,UREA,Daman & Diu,0,0
2014-2015,July,DAP,Delhi,0,0
2014-2015,July,MAP,Delhi,0,0
2014-2015,July,MOP,Delhi,0,0
2014-2015,July,NPK,Delhi,0,0
2014-2015,July,TSP,Delhi,0,0
2014-2015,July,UREA,Delhi,0,0
2014-2015,July,DAP,Goa,0,138.8
2014-2015,July,MAP,Goa,0,0
2014-2015,July,MOP,Goa,0,20
2014-2015,July,NPK,Goa,0,20
2014-2015,July,TSP,Goa,0,0
2014-2015,July,UREA,Goa,0,90
2014-2015,July,DAP,Gujarat,0,24487.29
2014-2015,July,MAP,Gujarat,0,0
2014-2015,July,MOP,Gujarat,0,6818.1
2014-2015,July,NPK,Gujarat,0,16961.11
2014-2015,July,TSP,Gujarat,0,6313.85
2014-2015,July,UREA,Gujarat,0,39531.61
2014-2015,July,DAP,Harayana,0,1737.05
2014-2015,July,MAP,Harayana,0,0
2014-2015,July,MOP,Harayana,0,886.4
2014-2015,July,NPK,Harayana,0,3605.15
2014-2015,July,TSP,Harayana,0,0
2014-2015,July,UREA,Harayana,0,19857.85
2014-2015,July,DAP,Himachal Pradesh,0,0
2014-2015,July,MAP,Himachal Pradesh,0,0
2014-2015,July,MOP,Himachal Pradesh,0,0
2014-2015,July,NPK,Himachal Pradesh,0,113.35
2014-2015,July,TSP,Himachal Pradesh,0,0
2014-2015,July,UREA,Himachal Pradesh,0,218.05
2014-2015,July,DAP,Jammu & Kashmir,0,4346.3
2014-2015,July,MAP,Jammu & Kashmir,0,0
2014-2015,July,MOP,Jammu & Kashmir,0,746.2
2014-2015,July,NPK,Jammu & Kashmir,0,0
2014-2015,July,TSP,Jammu & Kashmir,0,0
2014-2015,July,UREA,Jammu & Kashmir,0,6120.6
2014-2015,July,DAP,Jharkhand,10000,3522.6
2014-2015,July,MAP,Jharkhand,0,0
2014-2015,July,MOP,Jharkhand,2500,0
2014-2015,July,NPK,Jharkhand,5000,586.7
2014-2015,July,TSP,Jharkhand,0,0
2014-2015,July,UREA,Jharkhand,30000,11400.6
2014-2015,July,SSP,Jharkhand,7500,0
2014-2015,July,DAP,Karnataka,76000,35579.55
2014-2015,July,MAP,Karnataka,0,0
2014-2015,July,MOP,Karnataka,40000,19920.52
2014-2015,July,NPK,Karnataka,125000,101352.14
2014-2015,July,TSP,Karnataka,0,11905.4
2014-2015,July,UREA,Karnataka,166000,35738.4
2014-2015,July,DAP,Kerala,0,1833.9
2014-2015,July,MAP,Kerala,0,0
2014-2015,July,MOP,Kerala,0,3405.83
2014-2015,July,NPK,Kerala,0,19493.28
2014-2015,July,TSP,Kerala,0,3156.75
2014-2015,July,UREA,Kerala,0,2163.2
2014-2015,July,DAP,Madhya Pradesh,0,47315.92
2014-2015,July,MAP,Madhya Pradesh,0,0
2014-2015,July,MOP,Madhya Pradesh,0,15504.95
2014-2015,July,NPK,Madhya Pradesh,0,18132.75
2014-2015,July,TSP,Madhya Pradesh,0,8443.85
2014-2015,July,UREA,Madhya Pradesh,0,38854.4
2014-2015,July,DAP,Maharastra,0,6197.97
2014-2015,July,MAP,Maharastra,0,0
2014-2015,July,MOP,Maharastra,0,23498.05
2014-2015,July,NPK,Maharastra,0,48539.29
2014-2015,July,TSP,Maharastra,0,0
2014-2015,July,UREA,Maharastra,0,29717.14
2014-2015,July,DAP,Manipur,0,0
2014-2015,July,MAP,Manipur,0,0
2014-2015,July,MOP,Manipur,0,0
2014-2015,July,NPK,Manipur,0,0
2014-2015,July,TSP,Manipur,0,0
2014-2015,July,UREA,Manipur,0,0
2014-2015,July,DAP,Megalaya,0,0
2014-2015,July,MAP,Megalaya,0,0
2014-2015,July,MOP,Megalaya,0,0
2014-2015,July,NPK,Megalaya,0,0
2014-2015,July,TSP,Megalaya,0,0
2014-2015,July,UREA,Megalaya,0,0
2014-2015,July,DAP,Mizoram,0,0
2014-2015,July,MAP,Mizoram,0,0
2014-2015,July,MOP,Mizoram,0,0
2014-2015,July,NPK,Mizoram,0,0
2014-2015,July,TSP,Mizoram,0,0
2014-2015,July,UREA,Mizoram,0,0
2014-2015,July,DAP,Nagaland,0,0
2014-2015,July,MAP,Nagaland,0,0
2014-2015,July,MOP,Nagaland,0,0
2014-2015,July,NPK,Nagaland,0,0
2014-2015,July,TSP,Nagaland,0,0
2014-2015,July,UREA,Nagaland,0,0
2014-2015,July,DAP,Orissa,0,16958.85
2014-2015,July,MAP,Orissa,0,0
2014-2015,July,MOP,Orissa,0,6595.15
2014-2015,July,NPK,Orissa,0,24372.35
2014-2015,July,TSP,Orissa,0,0
2014-2015,July,UREA,Orissa,0,31968.65
2014-2015,July,DAP,Pondicherry,0,49
2014-2015,July,MAP,Pondicherry,0,0
2014-2015,July,MOP,Pondicherry,0,6
2014-2015,July,NPK,Pondicherry,0,60
2014-2015,July,TSP,Pondicherry,0,0
2014-2015,July,UREA,Pondicherry,0,5
2014-2015,July,DAP,Punjab,0,25118.1
2014-2015,July,MAP,Punjab,0,0
2014-2015,July,MOP,Punjab,0,8622.3
2014-2015,July,NPK,Punjab,0,559.5
2014-2015,July,TSP,Punjab,0,3355.3
2014-2015,July,UREA,Punjab,0,23692.6
2014-2015,July,DAP,Rajasthan,0,4633.2
2014-2015,July,MAP,Rajasthan,0,0
2014-2015,July,MOP,Rajasthan,0,1976.55
2014-2015,July,NPK,Rajasthan,0,688.8
2014-2015,July,TSP,Rajasthan,0,3526.25
2014-2015,July,UREA,Rajasthan,0,7724.77
2014-2015,July,DAP,Tamil Nadu,0,6604.45
2014-2015,July,MAP,Tamil Nadu,0,0
2014-2015,July,MOP,Tamil Nadu,0,1138.35
2014-2015,July,NPK,Tamil Nadu,0,20928.82
2014-2015,July,TSP,Tamil Nadu,0,0
2014-2015,July,UREA,Tamil Nadu,0,2444.6
2014-2015,July,DAP,Tripura,0,175.35
2014-2015,July,MAP,Tripura,0,0
2014-2015,July,MOP,Tripura,0,0
2014-2015,July,NPK,Tripura,0,3.75
2014-2015,July,TSP,Tripura,0,0
2014-2015,July,UREA,Tripura,0,1863.5
2014-2015,July,DAP,Telangana,0,12082.4
2014-2015,July,MAP,Telangana,0,0
2014-2015,July,MOP,Telangana,0,7413.4
2014-2015,July,NPK,Telangana,0,50012.24
2014-2015,July,TSP,Telangana,0,0
2014-2015,July,UREA,Telangana,0,31677.55
2014-2015,July,DAP,Uttar Pradesh,0,196473.1
2014-2015,July,MAP,Uttar Pradesh,0,0
2014-2015,July,MOP,Uttar Pradesh,0,8197.7
2014-2015,July,NPK,Uttar Pradesh,0,34404.55
2014-2015,July,TSP,Uttar Pradesh,0,16125.25
2014-2015,July,UREA,Uttar Pradesh,0,182684.2
2014-2015,July,DAP,Uttaranchal,0,1135.55
2014-2015,July,MAP,Uttaranchal,0,0
2014-2015,July,MOP,Uttaranchal,0,0
2014-2015,July,NPK,Uttaranchal,0,3078.85
2014-2015,July,TSP,Uttaranchal,0,0
2014-2015,July,UREA,Uttaranchal,0,2698.55
2014-2015,July,DAP,West Bengal,28500,7808.21
2014-2015,July,MAP,West Bengal,0,0
2014-2015,July,MOP,West Bengal,36450,14325.65
2014-2015,July,NPK,West Bengal,98750,64409.44
2014-2015,July,TSP,West Bengal,0,7377.55
2014-2015,July,UREA,West Bengal,130600,51596.76
